Restore	載入
Written reprimand for using a 40meg hard drive for shotgun practice while still mounted in the main frame and asleep.	因在主機框內裝載狀態下熟睡，用 40MB 硬碟做霰彈槍射擊練習而被書面警告。
Walls, James (BB)	Walls, James (BB)
Designer	設計師
Active 	現役
Outstanding contribution of PQ, PQ2, Code name Ice Man to Sierra product line.	對 Sierra 產品線中《警察故事》、《警察故事2》、代號「冰人」的傑出貢獻。
Wong, Willis (Wild Willy)	Wong, Willis (Wild Willy)
Psychological review for functional walking disorder. Found incapable of walking upright.	心理評估：步態功能障礙。發現無法直立行走。
 I do. 	 我同意。
Sonny Bonds, Detective Sergeant with the L.P.D.	Sonny Bonds，Lytton 警局警探警佐。
Yes. That's correct.	是的。沒錯。
That's the man there, seated at the defendant's table.	就是那個人，坐在被告席上。
Well, I don't recall, but it should be on the ticket.	嗯……我不記得，但應該在罰單上。
Uh...Yeah. I mean, I just forgot it.	呃……是的。我是說，我只是忘了。
Thanks.	謝謝。
Er... Umm... Sorry...	呃……嗯……抱歉……
Here it is.	給你。
The people call Officer Sonny Bonds to the stand, your Honor.	本案控方請 Sonny Bonds 警員出庭作證，法官閣下。
Officer Bonds, on September 14 you issued a citation to a Juan Jose Ruiz. Is that correct?	Bonds 警員，9 月 14 日你對 Juan Jose Ruiz 開具罰單。是這樣嗎？
Officer Bonds, I asked you a question. Is that correct?	Bonds 警員，我問你一個問題。是這樣嗎？
Officer Bonds, do you see Mr. Ruiz anywhere in the courtroom?	Bonds 警員，你在法庭上看得到 Ruiz 先生嗎？
Officer Bonds, please answer the question.	Bonds 警員，請回答問題。
Officer Bonds, could you show the court the speedometer calibration chart for the police vehicle you were operating that day?	Bonds 警員，你能給法庭看你那天駕駛的警車的速度表校準表嗎？
Do you have the chart or don't you, Officer Bonds?	你有沒有那個表，Bonds 警員？
I'll take that for a no. Let the record reflect that we have no calibration chart for evidence on this case.	我當你沒有。記錄在案：本案沒有速度表校準表作為證物。
I have no further questions, your Honor.	我沒有其他問題了，法官閣下。
I have no questions for this witness, your Honor.	我對這名證人沒有問題，法官閣下。
No, your Honor.	沒有，法官閣下。
Nice job, Officer Bonds.	幹得好，Bonds 警員。
Next time, don't waste my time or the courts! If you can't get a citation right, don't issue one!	下次別浪費我和法庭的時間！如果你開不好罰單，就別開！
Let the record note the admission of one calibration chart into evidence.	記錄在案：認可一份校準表作為證物。
That's a lie, man!	那是謊話，老兄！
Juan Jose Ruiz.	Juan Jose Ruiz。
I told ya I'd get ya in court, esse.	我跟你說過我會在法庭上收拾你，夥計。
Officer Bonds, do you recall the time of day this alleged violation took place?	Bonds 警員，你還記得這起涉嫌違規事件發生在一天中的幾點嗎？
Yes.  The time is on the ticket, but it's not the CORRECT time!  My client was at home working on his hydraulic system.	是的。時間在罰單上，但不是正確的時間！我的委託人當時在家修理液壓系統。
Officer Bonds, is your citation based on measuring Mr. Ruiz's speed against your own patrol car, but you can't produce a speedometer calibration chart for that vehicle?	Bonds 警員，你的罰單是根據用自己的巡邏車來衡量 Ruiz 先生的速度，但你拿不出那輛車的速度表校準表嗎？
That's all I wanted to hear!	我要的就是這句話！
Mr. Cannon, please call your first witness in the people vs. Ruiz.	Cannon 先生，請在「人民訴 Ruiz 案」中傳喚你的第一名證人。
You're out of order, Mr. Ruiz! You'll have a chance to tell your side of the story in due time.	Ruiz 先生，你越界了！你稍後會有機會講你的說法。
Your witness, Mr. Meyer.	你的證人，Meyer 先生。
You may step down now, Officer Bonds.	你現在可以下證人席了，Bonds 警員。
Mr. Ruiz, please step forward and be sworn in.	Ruiz 先生，請上前宣誓。
Can you briefly tell us what happened that day, Mr. Ruiz?	Ruiz 先生，你能簡要說明那天發生了什麼嗎？
Your witness, Mr. Cannon.	你的證人，Cannon 先生。
Do you have anything further to say, Mr. Ruiz?	你還有什麼要說嗎，Ruiz 先生？
Any closing arguments?	有沒有最後陳詞？
Then I'll proceed with my decision. You may step down, Mr. Ruiz.	那我就宣判了。Ruiz 先生，你可以下來了。
Based on Officer Bond's testimony and the evidence submitted, I find the defendant guilty.	根據 Bond 警員的證詞和提交的證物，我認定被告有罪。
Based on the officer's vague recollection of the facts surrounding this citation, I find the defendant not guilty.	根據警員對這起罰單相關事實含糊的回憶，我認定被告無罪。
Obviously this Officer cannot remember anything about this incident! Case dismissed!	顯然這位警員對這起事件一無所知！案件駁回！
Court is now in session, please be seated.	法庭現在開庭，請坐下。
I believe the judge is in her chambers at the moment. The door should be unlocked.	我想法官現在在她的辦公室裡。門應該是開著的。
How can I help you?	有什麼我可以幫的嗎？
Samuel Britt, W/M cauc., D.O.B. 10/28/26, 5'10" 176lbs.	Samuel Britt，白人男性，生年月日 10/28/26，身高 5'10"，體重 176 磅。
392 S. 6th St. Lytton U.S.A.	392 S. 6th St. Lytton U.S.A.
John Childs	John Childs
None.	無。
Lacerated heart and liver due to multiple stab wounds.	因多處刺傷導致心臟和肝臟撕裂。
                   Based on the puncture wounds measuring 6" X 1 1/2", the instrument of death is believed to be a dagger.	                   根據 6" × 1 1/2" 的刺傷，凶器推定為匕首。
- DNA analysis of hair clutched in victims hand indicates "a neg." blood type of suspect.	- DNA 分析受害者手中的毛髮顯示嫌犯血型為「A 陰性」。
- Incisions in the shape of a pentagram were located in the lower left quadrant of the torso. Carved after death.	- 在軀幹左下象限發現五芒星形切口。死後刻畫。
              No other existing homicides with same M.O. - Unknown cult has possibly moved into the area.	              沒有其他具有相同作案手法的命案 - 可能有未知邪教進入該地區。
Robbery/ritualistic sacrifice based on the pentagram.	根據五芒星判定為搶劫／儀式性殺害。
Clifford Jones, W/M caus, D.O.B. 03/15/35, 6' 190lbs.	Clifford Jones，白人男性，生年月日 03/15/35，身高 6'，體重 190 磅。
280 W. Palm, Lytton U.S.A.	280 W. Palm, Lytton U.S.A.
                   Puncture wounds measuring 6" X 1 1/2" indicate the weapon as being a dagger.	                   6" × 1 1/2" 的刺傷表明凶器為匕首。
- Hair clutched in victims hand. Lab analysis blood type "a neg."	- 受害者手中的毛髮。實驗室分析血型「A 陰性」。
- Incisions in the shape of a pentagram were located in the lower left quadrant of the torso. The pentagram was carved after death.	- 在軀幹左下象限發現五芒星形切口。五芒星在死後刻畫。
              The suspects, during the process of a burglary, were interrupted by the victim. A struggle ensued and the victim was murdered.	              嫌犯在搶劫過程中被受害者打斷。發生搏鬥，受害者遇害。
Burglary	搶劫
Marie Bonds, W/F, D.O.B. 03/15/55, 5'7' 110lbs.	Marie Bonds，白人女性，生年月日 03/15/55，身高 5'7"，體重 110 磅。
341 E. Rose Lytton U.S.A.	341 E. Rose Lytton U.S.A.
Sonny Bonds	Sonny Bonds
Victim in coma with multiple stab wounds.	受害者昏迷，身上有多處刺傷。
- Necklace clutched in victims hand. Possibly broken off suspect.	- 受害者手中握著項鍊。可能是嫌犯身上掉下來的。
- Military Bronze Medal. Found under victim's car. Serial #09987	- 軍事銅質勳章。在受害者車下發現。序號 #09987
              The suspects were frightened off during the attempt on victim's life.	              嫌犯在謀害受害者時被嚇跑。
Robbery	搶劫
Andrew Dent, W/M, D.O.B. 03/15/35, 5'10" 187lbs.	Andrew Dent，白人男性，生年月日 03/15/35，身高 5'10"，體重 187 磅。
376 W. Rose Lytton U.S.A.	376 W. Rose Lytton U.S.A.
Multiple stab wounds with pentagram incision on torso.	軀幹上有多處刺傷和五芒星切口。
- Paint transfers, gold, possibly from suspect vehicle.	- 油漆轉移，金色，可能來自嫌犯車輛。
- Skin and hair samples found under victim's nails.	- 受害者指甲下發現皮膚和毛髮樣本。
              Ritual cult murder. Associated with attempted murder of Marie Bonds.	              儀式邪教謀殺。與謀害 Marie Bonds 的企圖有關。
Cult Murder	邪教謀殺
- Partially burned photo of two male caucasun, one in military attire.	- 部分燒焦的兩名白人男性的照片，其中一人穿著軍裝。
- Blood and hair sample found on the floor inside apparent altar setup.	- 在明顯的祭壇佈置內的地板上發現血液和毛髮樣本。
- Black insignia ring with pentagram design. Found on hand of Steve Rocklin, murder suspect.	- 帶有五芒星設計的黑色徽章戒指。在謀殺嫌犯 Steve Rocklin 的手上發現。
- Black cult book with pentagram design on cover. Found on body of Steve Rocklin, murder suspect.	- 黑色邪教書籍，封面有五芒星設計。在謀殺嫌犯 Steve Rocklin 的身上發現。
- White paint transfer found on car of Steve Rocklin.	- 在 Steve Rocklin 的車上發現白色油漆轉移。
- Stolen property, Military Bronze Star, serial number 09987	- 被盜財產，軍事銅質星章，序號 09987
- Gold paint transfer analysis shows car to be used on General Motors sedan models, 1976.	- 金色油漆轉移分析顯示該車為 1976 年通用汽車轎車車型使用。
- Four one-pound packets of cocaine.	- 四包一磅的可卡因。
The hair's too straight, it was kinda wavy.	頭髮太直了，應該有點波浪。
He wasn't bald Sonny! He had a full rug.	他不是禿頭，Sonny！他有一頭濃密的頭髮。
Did I say he had sissy hair? Change it!	我有說他的頭髮娘娘腔嗎？改一下！
This guy didn't have a buzz cut.	這傢伙沒有理短髮。
Why... he looks like a rock star!	為什麼……他看起來像搖滾明星！
That's close...I think.	那差不多了……我想。
That's more like it Sonny boy.	這樣對了，Sonny 小子。
Naw, those eyes are too big.	不對，那些眼睛太大了。
His eyes was small... kinda like those.	他的眼睛很小……有點像那樣。
Narrower and beadier.	更窄，更像珠子。
Not even close!	一點都不像！
Them's pretty boy eyes.	那是小白臉的眼睛。
His eyes were closer set.	他的眼睛靠得比較近。
Them's too slanty.	眼睛太斜。
Those eyes remind me of my niece's.	那雙眼睛讓我想起我外甥女的。
Those eyes look a bit sinister.	那雙眼睛看起來有點邪惡。
Too droopy, he had alert eyes.	太下垂了，他的眼睛是機警的。
No!.. I said little beady eyes.	不對！我說的是小而圓的眼睛。
Did I say he was oriental? Change it!	我有說他是東方人嗎？改掉！
Reminds me of my kind mother's eyes.	讓我想起我善良母親的眼睛。
Them's beady but too far apart.	眼睛很圓但距離太遠。
They're way too big Sonny.	Sonny，眼睛太大了。
Now that's some evil eyes.	現在那是邪惡的眼睛。
I said hawkish not button boy.	我說的是鷹眼，不是紐扣眼。
That's a better beak. But I think it may hav' been narrower.	那是更好的鷹鼻。但我覺得也許應該更窄一點。
I don't think that's it.	我不認為那是它。
He didn't have a pug nose, that's fur sure.	他沒有獅子鼻，那是確定的。
I don't know,.. maybe that could be the the shnoz!	我不知道…也許那可能是鼻子！
That's kinda like it ... I guess.	那有點像…我想。
He didn't hav'a little tweedy-bird nose!	他沒有小知更鳥鼻！
No that's not it at all!	不，一點都不對！
I dated a man with a cute nose like that.	我交過一個鼻子像那樣的可愛男人。
I couldn't see up his nose like that.	我看不進他那樣的鼻孔裡。
Nope! Too flat! I don't think your listenin' to me!	不！太扁平了！我不覺得你有在聽我說話！
Close... But without the cavernous nostrils!	接近…但沒有那麼大的鼻孔！
That nose is way too big!	那鼻子太大了！
You can try that one beak there.	你可以試試那個鷹鼻。
That looks like the beak to me.	那個看起來像鷹鼻。
Could be,.. he sure looked mean.	也許，他看起來確實很兇惡。
Now there's a sour one Sonny.	Sonny，那是很不開心的嘴。
Look like someone gave him a fat lip.	看起來像是有人打腫了他的嘴。
He didn't have lips as full as those.	他的嘴唇沒有那麼飽滿。
Those look like women's lips to me!	那看起來像女人的嘴唇！
Naw, too full, He had a tight mouth.	不，太飽滿了，他的嘴很緊。
That's not it!	那不是！
Hmmm!... I don't think so.	嗯！…我不這麼認為。
I don't know, could be.	我不知道，也許吧。
That just doesn't look right to me.	那對我來說看起來不太對。
